host_id,host_name,latitude,longitude,room_type,price,minimum_nights
65859990,Martijn,52.37823,4.85564,"Entire home/apt",278,2
21800150,,52.37062,4.86861,"Entire home/apt",160,3
14874061,Jasper,52.37626,4.8853,"Entire home/apt",125,7
21800150,,52.35727,4.91086,"Entire home/apt",168,1
65859990,Martijn,52.38429,4.87763,"Entire home/apt",248,1
65859990,Martijn,52.36715,4.87359,"Entire home/apt",228,1
65859990,Martijn,52.38341,4.96631,"Entire home/apt",339,1
65859990,Martijn,52.38313,4.96644,"Entire home/apt",332,2
65859990,Martijn,52.36683,4.87946,"Entire home/apt",281,2
1464510,"Wendy And Bram",52.36096,4.85483,"Entire home/apt",119,2
1464510,"Wendy And Bram",52.35726,4.93337,"Entire home/apt",180,1
1464510,"Wendy And Bram",52.36058,4.93876,"Entire home/apt",188,2
1464510,"Wendy And Bram",52.37443,4.87247,"Entire home/apt",214,2
7594884,"Ruben, Sarah & Lindy",52.34233,4.92578,"Entire home/apt",268,3
1464510,"Wendy And Bram",52.36794,4.86727,"Entire home/apt",247,2
7594884,"Ruben, Sarah & Lindy",52.34404,4.85956,"Entire home/apt",288,3
7594884,"Ruben, Sarah & Lindy",52.40701,4.9307,"Entire home/apt",270,3
1464510,"Wendy And Bram",52.34378,4.859,"Entire home/apt",193,2
1464510,"Wendy And Bram",52.35874,4.85681,"Entire home/apt",240,2
14874061,Jasper,52.38105,4.88576,"Entire home/apt",175,3
1464510,"Wendy And Bram",52.36656,4.85135,"Entire home/apt",296,2
1464510,"Wendy And Bram",52.35564,4.89665,"Entire home/apt",250,2
1464510,"Wendy And Bram",52.37028,4.85185,"Entire home/apt",274,2
1464510,"Wendy And Bram",52.35315,4.88859,"Entire home/apt",640,2
14874061,Jasper,52.37493,4.86022,"Entire home/apt",275,3
1464510,"Wendy And Bram",52.36107,4.89402,"Entire home/apt",322,2
1464510,"Wendy And Bram",52.37567,4.89597,"Entire home/apt",2400,2
1464510,"Wendy And Bram",52.36991,4.86636,"Entire home/apt",380,2
1464510,"Wendy And Bram",52.35033,4.88973,"Entire home/apt",360,2
1464510,"Wendy And Bram",52.37649,4.87751,"Entire home/apt",900,2
7594884,"Ruben, Sarah & Lindy",52.39197,4.93446,"Entire home/apt",267,3
1464510,"Wendy And Bram",52.38044,4.8886,"Entire home/apt",447,2
1464510,"Wendy And Bram",52.37942,4.88797,"Entire home/apt",410,2
1464510,"Wendy And Bram",52.35659,4.84412,"Entire home/apt",378,2
14874061,Jasper,52.36836,4.83253,"Entire home/apt",124,2
65859990,Martijn,52.40385,4.90287,"Entire home/apt",400,2
65859990,Martijn,52.36539,4.85189,"Entire home/apt",400,2
7594884,"Ruben, Sarah & Lindy",52.40465,4.91426,"Entire home/apt",250,3
14874061,Jasper,52.35392,4.84631,"Entire home/apt",250,3
1464510,"Wendy And Bram",52.35527,4.89142,"Entire home/apt",260,2
14874061,Jasper,52.3649,4.87561,"Entire home/apt",200,2
1464510,"Wendy And Bram",52.42428,4.88678,"Entire home/apt",127,2
7594884,"Ruben, Sarah & Lindy",52.36523,4.93822,"Entire home/apt",200,3
14874061,Jasper,52.36561,4.88785,"Entire home/apt",175,2
7594884,"Ruben, Sarah & Lindy",52.36521,4.86048,"Entire home/apt",149,3
7594884,"Ruben, Sarah & Lindy",52.3621,4.86232,"Entire home/apt",195,3
14874061,Jasper,52.35533,4.93818,"Entire home/apt",200,2
7594884,"Ruben, Sarah & Lindy",52.34599,4.90097,"Entire home/apt",268,1
14874061,Jasper,52.38789,4.87879,"Entire home/apt",100,2
7594884,"Ruben, Sarah & Lindy",52.36249,4.93509,"Entire home/apt",160,3
7594884,"Ruben, Sarah & Lindy",52.37252,4.81835,"Entire home/apt",185,3
14874061,Jasper,52.38107,4.88691,"Entire home/apt",175,3
14874061,Jasper,52.3435,4.8964,"Entire home/apt",135,2
14874061,Jasper,52.35003,4.91426,"Entire home/apt",135,2
7594884,"Ruben, Sarah & Lindy",52.36258,4.90775,"Entire home/apt",178,1
14874061,Jasper,52.35822,4.85632,"Entire home/apt",400,3
14874061,Jasper,52.37323,4.86493,"Entire home/apt",99,3
1464510,"Wendy And Bram",52.36471,4.91001,"Entire home/apt",149,7
7594884,"Ruben, Sarah & Lindy",52.38042,4.88635,"Entire home/apt",167,1
1464510,"Wendy And Bram",52.417,4.90259,"Entire home/apt",217,2
1464510,"Wendy And Bram",52.36502,4.87764,"Entire home/apt",194,1
1464510,"Wendy And Bram",52.34532,5.00967,"Entire home/apt",228,1
1464510,"Wendy And Bram",52.35543,4.89166,"Entire home/apt",159,1
1464510,"Wendy And Bram",52.36235,4.93543,"Entire home/apt",120,2
1464510,"Wendy And Bram",52.38457,4.8881,"Entire home/apt",168,2
1464510,"Wendy And Bram",52.36761,4.95022,"Entire home/apt",146,2
1464510,"Wendy And Bram",52.36263,4.86064,"Entire home/apt",166,1
